Date,Close,Open,High,Low,DAXClose,SPClose,DFFR,EURINF,USAINF,GERLTINT,EURLTINT,USACPI,USAUNEMP
1/1/2001,0.9407,0.9422,0.9429,0.939,6433.61,1320.28,5.41,2,3.7,4.8,5.31,2.6,4.2
1/2/2001,0.9498,0.9425,0.9514,0.9363,6289.819824,1283.27,6.67,2,3.7,4.8,5.31,2.6,4.2
1/3/2001,0.9283,0.9508,0.9572,0.9274,6434.959961,1347.56,6.35,2,3.7,4.8,5.31,2.6,4.2
1/4/2001,0.9493,0.9275,0.9523,0.9264,6376.540039,1333.34,5.92,2,3.7,4.8,5.31,2.6,4.2
1/5/2001,0.958,0.9499,0.9597,0.9465,6382.310059,1298.35,5.83,2,3.7,4.8,5.31,2.6,4.2
1/8/2001,0.9478,0.9576,0.9594,0.9465,6392.169922,1295.86,5.98,2,3.7,4.8,5.31,2.6,4.2
1/9/2001,0.9456,0.9471,0.948,0.9381,6404.52002,1300.8,5.95,2,3.7,4.8,5.31,2.6,4.2
1/10/2001,0.9367,0.9442,0.9468,0.9364,6320.069824,1313.27,6.06,2,3.7,4.8,5.31,2.6,4.2
1/11/2001,0.9531,0.9364,0.9554,0.9364,6465.209961,1326.82,6.05,2,3.7,4.8,5.31,2.6,4.2
1/12/2001,0.952,0.9527,0.9584,0.9469,6490.029785,1318.32,5.98,2,3.7,4.8,5.31,2.6,4.2
1/15/2001,0.9425,0.9519,0.9532,0.9409,6522.870117,1322.485,5.98,2,3.7,4.8,5.31,2.6,4.2
1/16/2001,0.9416,0.9422,0.9442,0.9371,6502.890137,1326.65,6.2,2,3.7,4.8,5.31,2.6,4.2
1/17/2001,0.9355,0.9425,0.9449,0.9289,6653.379883,1329.47,5.94,2,3.7,4.8,5.31,2.6,4.2
1/18/2001,0.9444,0.9358,0.9468,0.9354,6635.759766,1347.97,5.93,2,3.7,4.8,5.31,2.6,4.2
1/19/2001,0.934,0.9427,0.9507,0.9339,6651.529785,1342.54,5.92,2,3.7,4.8,5.31,2.6,4.2
1/22/2001,0.9395,0.9341,0.9405,0.927,6675,1342.9,6,2,3.7,4.8,5.31,2.6,4.2
1/23/2001,0.9379,0.9387,0.9453,0.9371,6722.410156,1360.4,5.97,2,3.7,4.8,5.31,2.6,4.2
1/24/2001,0.9214,0.9374,0.9375,0.9213,6706.669922,1364.3,6.05,2,3.7,4.8,5.31,2.6,4.2
1/25/2001,0.9245,0.9218,0.9254,0.9113,6727.490234,1357.51,6.1,2,3.7,4.8,5.31,2.6,4.2
1/26/2001,0.9242,0.924,0.9321,0.9198,6695.200195,1354.95,5.96,2,3.7,4.8,5.31,2.6,4.2
1/29/2001,0.9165,0.9246,0.9264,0.9159,6750.959961,1364.17,5.98,2,3.7,4.8,5.31,2.6,4.2
1/30/2001,0.9267,0.9173,0.9281,0.9144,6739.299805,1373.73,5.9,2,3.7,4.8,5.31,2.6,4.2
1/31/2001,0.9365,0.9263,0.9373,0.9252,6795.140137,1366.01,5.74,2,3.7,4.8,5.31,2.6,4.2
2/1/2001,0.9391,0.9374,0.9448,0.9359,6704.680176,1373.47,5.57,2,3.5,4.78,5.3,2.7,4.2
2/2/2001,0.9364,0.9385,0.9423,0.9318,6638.200195,1349.47,5.5,2,3.5,4.78,5.3,2.7,4.2
2/5/2001,0.9384,0.9346,0.9446,0.9343,6628.069824,1354.31,5.52,2,3.5,4.78,5.3,2.7,4.2
2/6/2001,0.9309,0.9378,0.9389,0.9281,6693.029785,1352.26,5.48,2,3.5,4.78,5.3,2.7,4.2
2/7/2001,0.9282,0.9315,0.9356,0.9257,6578.959961,1340.89,5.5,2,3.5,4.78,5.3,2.7,4.2
2/8/2001,0.9188,0.9284,0.93,0.9147,6636.810059,1332.53,5.5,2,3.5,4.78,5.3,2.7,4.2
2/9/2001,0.9247,0.9179,0.9278,0.9125,6497.069824,1314.76,5.44,2,3.5,4.78,5.3,2.7,4.2
2/12/2001,0.9314,0.9254,0.9334,0.9248,6564.910156,1330.31,5.48,2,3.5,4.78,5.3,2.7,4.2
2/13/2001,0.9209,0.9318,0.9334,0.9171,6557.930176,1318.8,5.46,2,3.5,4.78,5.3,2.7,4.2
2/14/2001,0.9183,0.9196,0.9223,0.9164,6479.870117,1315.92,5.5,2,3.5,4.78,5.3,2.7,4.2
2/15/2001,0.9047,0.9183,0.9199,0.9026,6591.669922,1326.61,5.57,2,3.5,4.78,5.3,2.7,4.2
2/16/2001,0.9131,0.9052,0.9181,0.9047,6439.259766,1301.53,5.46,2,3.5,4.78,5.3,2.7,4.2
2/19/2001,0.922,0.9133,0.9238,0.9121,6472.209961,1290.235,5.46,2,3.5,4.78,5.3,2.7,4.2
2/20/2001,0.9123,0.9214,0.9242,0.9049,6451.569824,1278.94,5.57,2,3.5,4.78,5.3,2.7,4.2
2/21/2001,0.9096,0.9123,0.9184,0.9058,6347.990234,1255.27,5.5,2,3.5,4.78,5.3,2.7,4.2
2/22/2001,0.9052,0.9092,0.9133,0.9016,6277.990234,1252.82,5.52,2,3.5,4.78,5.3,2.7,4.2
2/23/2001,0.9176,0.9047,0.9214,0.9027,6075.339844,1245.86,5.46,2,3.5,4.78,5.3,2.7,4.2
2/26/2001,0.9118,0.9174,0.919,0.908,6189.069824,1267.65,5.55,2,3.5,4.78,5.3,2.7,4.2
2/27/2001,0.9178,0.9109,0.9215,0.9083,6220.47998,1257.94,5.49,2,3.5,4.78,5.3,2.7,4.2
2/28/2001,0.9234,0.9187,0.9259,0.9161,6208.240234,1239.94,5.59,2,3.5,4.78,5.3,2.7,4.2
3/1/2001,0.9298,0.9239,0.9325,0.9224,6123.379883,1241.23,5.59,2.2,2.9,4.67,5.23,2.7,4.3
3/2/2001,0.9347,0.9299,0.9383,0.9285,6159.02002,1234.18,5.52,2.2,2.9,4.67,5.23,2.7,4.3
3/5/2001,0.9296,0.9365,0.9367,0.9281,6216.379883,1241.41,5.52,2.2,2.9,4.67,5.23,2.7,4.3
3/6/2001,0.9344,0.9289,0.9354,0.9252,6284.060059,1253.8,5.39,2.2,2.9,4.67,5.23,2.7,4.3
3/7/2001,0.9296,0.9344,0.9373,0.9264,6305.640137,1261.89,5.34,2.2,2.9,4.67,5.23,2.7,4.3
3/8/2001,0.9324,0.9297,0.9343,0.9267,6267.060059,1264.74,5.46,2.2,2.9,4.67,5.23,2.7,4.3
3/9/2001,0.9329,0.9325,0.9377,0.929,6204.419922,1233.42,5.42,2.2,2.9,4.67,5.23,2.7,4.3
3/12/2001,0.9287,0.9326,0.9345,0.9258,6046.560059,1180.16,5.5,2.2,2.9,4.67,5.23,2.7,4.3
3/13/2001,0.9147,0.9286,0.9304,0.9127,5962.930176,1197.66,5.5,2.2,2.9,4.67,5.23,2.7,4.3
3/14/2001,0.9109,0.9155,0.9218,0.9078,5794.120117,1166.71,5.48,2.2,2.9,4.67,5.23,2.7,4.3
3/15/2001,0.8984,0.912,0.9133,0.8953,5889.950195,1173.56,5.52,2.2,2.9,4.67,5.23,2.7,4.3
3/16/2001,0.8976,0.8973,0.9006,0.8915,5734.490234,1150.53,5.4,2.2,2.9,4.67,5.23,2.7,4.3
3/19/2001,0.899,0.8975,0.9021,0.8932,5657.290039,1170.81,5.38,2.2,2.9,4.67,5.23,2.7,4.3
3/20/2001,0.9096,0.8995,0.9101,0.8987,5782.160156,1142.62,5.14,2.2,2.9,4.67,5.23,2.7,4.3
3/21/2001,0.8962,0.9093,0.9128,0.8931,5622.089844,1122.14,5.05,2.2,2.9,4.67,5.23,2.7,4.3
3/22/2001,0.8883,0.8961,0.8968,0.883,5388.02002,1117.58,5.04,2.2,2.9,4.67,5.23,2.7,4.3
3/23/2001,0.89,0.8891,0.8969,0.8852,5544.669922,1139.83,4.94,2.2,2.9,4.67,5.23,2.7,4.3
3/26/2001,0.896,0.8911,0.8977,0.8884,5726.970215,1152.69,5.03,2.2,2.9,4.67,5.23,2.7,4.3
3/27/2001,0.8932,0.8958,0.8993,0.8898,5938.209961,1182.17,5.04,2.2,2.9,4.67,5.23,2.7,4.3
3/28/2001,0.8858,0.8935,0.8948,0.8845,5817.52002,1153.29,5.05,2.2,2.9,4.67,5.23,2.7,4.3
3/29/2001,0.8827,0.8859,0.8887,0.8796,5879.299805,1147.95,5.19,2.2,2.9,4.67,5.23,2.7,4.3
3/30/2001,0.8778,0.8836,0.8879,0.8752,5829.950195,1160.33,5.29,2.2,2.9,4.67,5.23,2.7,4.3
4/2/2001,0.8798,0.8745,0.8839,0.8744,5760.759766,1145.87,5.3,2.7,3.3,4.83,5.38,2.6,4.4
4/3/2001,0.8981,0.8797,0.8999,0.8792,5553.459961,1106.46,5.1,2.7,3.3,4.83,5.38,2.6,4.4
4/4/2001,0.9013,0.8976,0.9052,0.8934,5597.660156,1103.25,5.01,2.7,3.3,4.83,5.38,2.6,4.4
4/5/2001,0.8967,0.9012,0.9094,0.8936,5773.339844,1151.44,5.04,2.7,3.3,4.83,5.38,2.6,4.4
4/6/2001,0.9042,0.8969,0.9054,0.8924,5698.879883,1128.43,4.94,2.7,3.3,4.83,5.38,2.6,4.4
4/9/2001,0.897,0.9028,0.9049,0.8962,5781.009766,1137.59,4.98,2.7,3.3,4.83,5.38,2.6,4.4
4/10/2001,0.8889,0.897,0.8997,0.8869,5913.839844,1168.38,4.96,2.7,3.3,4.83,5.38,2.6,4.4
4/11/2001,0.8883,0.8891,0.892,0.8808,5951.160156,1165.89,4.95,2.7,3.3,4.83,5.38,2.6,4.4
4/12/2001,0.8926,0.888,0.8945,0.8835,6002.299805,1183.5,5.02,2.7,3.3,4.83,5.38,2.6,4.4
4/13/2001,0.8882,0.8928,0.8935,0.8878,5968.939942,1181.59,5.01,2.7,3.3,4.83,5.38,2.6,4.4
4/16/2001,0.8888,0.8887,0.8906,0.8827,5952.26001,1179.68,5.17,2.7,3.3,4.83,5.38,2.6,4.4
4/17/2001,0.8839,0.8884,0.8912,0.8776,5935.580078,1191.81,4.99,2.7,3.3,4.83,5.38,2.6,4.4
4/18/2001,0.8822,0.8834,0.8902,0.8696,6164.879883,1238.16,4.67,2.7,3.3,4.83,5.38,2.6,4.4
4/19/2001,0.898,0.8838,0.899,0.8806,6181.910156,1253.7,4.47,2.7,3.3,4.83,5.38,2.6,4.4
4/20/2001,0.9022,0.8976,0.9049,0.8947,6127.970215,1242.98,4.38,2.7,3.3,4.83,5.38,2.6,4.4
4/23/2001,0.8964,0.9018,0.9084,0.8942,6051.47998,1224.36,4.4,2.7,3.3,4.83,5.38,2.6,4.4
4/24/2001,0.8942,0.8963,0.9022,0.8931,6124.569824,1209.47,4.41,2.7,3.3,4.83,5.38,2.6,4.4
